name,address,street_num,street,neighborhood,city,county,postal_code,state,country,lat,lng
The Capital Wheel,"116 Waterfront St, Oxon Hill, MD 20745, USA",116,Waterfront Street,Oxon Hill,Fort Washington,Prince George's County,20745,Maryland,United States,38.785724,-77.015187
The Pad,"122 Queen St, Alexandria, VA 22314, USA",122,Queen Street,Old Town,Alexandria,,22314,Virginia,United States,38.806429,-77.04069
Torpedo Factory,"105 S Union St, Alexandria, VA 22314, USA",105,South Union Street,Old Town,Alexandria,,22314,Virginia,United States,38.803944,-77.040545
The Lair,"3601 Eisenhower Ave, Alexandria, VA 22304, USA",3601,Eisenhower Avenue,Eisenhower West,Alexandria,,22304,Virginia,United States,38.803209,-77.087778
Marriott Courtyard ALX,"200 Bluestone Rd, Alexandria, VA 22304, USA",200,Bluestone Road,Eisenhower West,Alexandria,,22304,Virginia,United States,38.80434,-77.091485
Westin Ballston,"801 N Glebe Rd, Arlington, VA 22203, USA",801,North Glebe Road,Virginia Square,Arlington,Arlington County,22203,Virginia,United States,38.880667,-77.114245
GMU Policy Intl Affairs,"4401 15th St N, Arlington, VA 22207, USA",4401,15th Street North,Waverly Hills,Arlington,Arlington County,22207,Virginia,United States,38.889012,-77.114369
FDIC,"550 17th St NW, Washington, DC 20429, USA",550,Pennsylvania Avenue Northwest,Northwest Washington,Washington,,20429,District of Columbia,United States,38.897068,-77.040151
Eisenhower Exec Office Bldg,"1650 Pennsylvania Ave NW, Washington, DC 20504, USA",1650,Pennsylvania Avenue Northwest,Northwest Washington,Washington,,20504,District of Columbia,United States,38.898009,-77.038946
St. Regis - Washington DC,"923 16th St NW, Washington, DC 20006, USA",923,16th Street Northwest,Downtown,Washington,,20006,District of Columbia,United States,38.902138,-77.036062
